KEY,English(US)
AutoHelp,Порядок предметів\n[A85038][HSHD]Автоматично[383838][HSHD].[ENDN]
BadStatusCaption,ПОГАНИЙ СТАН
BattleCamera,Камера в бою
BattleCameraHelpMobile,"Натисніть щоб змінити налаштування камери в бою.\nВиберіть Авто, щоб переглянути битву з різних ракурсів."
BattleCameraHelpPC,"Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб змінити налаштування\nкамери в бою. Виберіть Авто, щоб \nпереглянути битву з різних ракурсів."
BattleResult03,Отримано Гіл!
BattleResult04,Гіл
BattleResultHelp,Натисніть [CBTN=CROSS]  щоб підтвердити.
BattleResultInfoEXPAP,Отримано ДОСВ та AP!
BattleResultInfoGilItem,Отримано предмет(ів) та Гіл
BattleResultLearn,Вивчено
BattleResultLevelUp,text_levelup_us_uk_jp_gr_it
BattleSpeed,Швидкість бою
BattleSpeedHelpMobile,Натисніть на кнопку та перетягніть щоб встановити швидкість бою.
BattleSpeedHelpPC,Натисніть [DBTN=LEFT] [DBTN=RIGHT] щоб встановити\nшвидкість бою.
BattleTargetHelpAll,Усі
BattleTargetHelpAllNPC,Усі (вороги)
BattleTargetHelpAllPC,Усі (загін)
BattleTargetHelpIndividual,Один
BattleTargetHelpIndividualNPC,Один (ворог)
BattleTargetHelpIndividualPC,Один (загін)
BattleTargetHelpMultiM,S/[A85038]M[383838]
BattleTargetHelpMultiNPCM,S/[A85038]M[383838] (вороги)
BattleTargetHelpMultiNPCS,[A85038]S[383838]/M (вороги)
BattleTargetHelpMultiPCM,S/[A85038]M[383838] (загін)
BattleTargetHelpMultiPCS,[A85038]S[383838]/M (загін)
BattleTargetHelpMultiS,[A85038]S[383838]/M
BattleTargetHelpRand,Випадково
BattleTargetHelpRandNPC,Випадково (ворог)
BattleTargetHelpRandPC,Випадково (загін)
BattleTargetHelpSelf,На себе
BattleTargetHelpWhole,На всіх
BoosterCaption,БУСТЕРИ ГРИ
BoosterConfigWarning,*Цю функцію неможливо вимкнути після активації.
BoosterGil,Максимум Гіл
BoosterGilHelp,Дає персонажу максимальну\nкількість Гіл.
BoosterLv,Макс. рівень та магічні камені
BoosterLvHelp,Встановлює рівень персонажа та\nкількість магічних каменів на максимум.
BoosterMaster,Майстерні навички
BoosterMasterHelp,Навички активуються автоматично\nпри спорядженні зброї та предметів.
BoosterWarningaaaa,\n[CENT][D06050]*Цю функцію неможливо вимкнути після активації. \n[CENT]Ви також не зможете отримувати досягнення.[C8C8C8]
BoosterWarningCommonChoice,"\n\n[CHOO][MOVE=140,0]Так\n[MOVE=140,0]Ні[ENDN]"
BoosterWarningGilMax,"[STRT=300,7][PCHC=2,1][IMME][CENT]Кількість Гіл буде встановлено на максимум.\n[CENT]Продовжити?"
BoosterWarningLvMax,"[STRT=300,8][PCHC=2,1][IMME][CENT]Рівень персонажа та\n[CENT]кількість магічних каменів буде\n[CENT]встановлено на максимум. Продовжити?"
BoosterWarningMaster,"[STRT=300,8][PCHC=2,1][IMME][CENT]Навички будуть активуватися автоматично\n[CENT]при спорядженні зброї та предметів.\n[CENT] Продовжити?"
BoosterWarningNotaaaa,\n\n[CENT][D06050]*Цю функцію неможливо вимкнути після активації.[C8C8C8]
BumperDesp,Обертання камери
Buy,Купити
BuyHelp,Що б ви хотіли купити?
BuyQtyHelp,Скільки?
BuyShopHelp,Купити предмети\nта зброю.[ENDN]
Cancel,Скасувати
CancelChocoHelp,Скасувати\nпоточний Чокограф.[ENDN]
CancelDesp,Скасувати/Ривок
CancelDiscardHelp,Скасувати.
Card,Карти
CardCaption,КАРТА
CardGet, Карта
CardHelp,Переглянути карти.
CardInfoCaption,КАРТА
CardStock,В торбі :
CardType,Тип :
CharacterProfile0,Раса: Хвостата людина\nСтать: Чоловіча\nВік: 16\nДомінуюча рука: Права
CharacterProfile1,Раса: Чорний маг\nСтать: Чоловіча\nВік: На вигляд 9 років\nДомінуюча рука: Права
CharacterProfile2,Раса: Людина\nСтать: Жіноча\nВік: 16\nДомінуюча рука: Права
CharacterProfile3,Раса: Людина\nСтать: Чоловіча\nВік: 33\nДомінуюча рука: Права
CharacterProfile4,Раса: Бурмеційка\nСтать: Жіноча\nВік: 21\nДомінуюча рука: Ліва
CharacterProfile5,Раса: Плем'я Ку\nСтать: Невідомо\nВік: Між 70 та 90\nДомінуюча рука: Обидві
CharacterProfile6,Раса: Рогата людина\nСтать: Жіноча\nВік: 6\nДомінуюча рука: Права
CharacterProfile7,Раса: Людина\nСтать: Чоловіча\nВік: 26\nДомінуюча рука: Права
CheckCaption,ПЕРЕВІРКА
Chocobo,ЧОКОБО
ChocoboAblilityCaption,ЗДИБНІСТЬ ЧОКОБО
Chocograph,Чокограф
ChocoGraphCaption,ЧОКОГРАФ
CircleControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]Скасувати.\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]Скасувати/Змінити режим руху.\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Вийти з транспорту.
Classic,Класичний
CloudConnectionError,"[STRT=250,1][IMME]Connection error.[TIME=-1]"
CloudConnectionTimeout,"[STRT=250,1][IMME]З'єднання розірвано.[TIME=-1]"
CloudData,Хмарне сховище
CloudDataCorrupt,"[STRT=250,1][IMME]Дані у хмарі пошкоджено.[TIME=-1]"
CloudDataUnknownError,"[STRT=250,1][IMME]Внутрішня помилка.[TIME=-1]"
CloudFileNotFound,"[STRT=250,1][IMME]У хмарі немає збережених даних.[TIME=-1]"
CloudSave,Хмарне сховище
Collector,[ICON=180] Колекціонера[FEED=1][YADD=1]
Combat,Битва
CommandCaption,КОМАНДИ
Config,Налаштування
ConfigCaption,НАЛАШТУВАННЯ
ConfigHelp,Переглянути налаштування гри.
Confirm,Підтвердити
ConfirmDesp,Налашт./Говорити/Поглянути
ConfirmDiscardHelp,Викинути карту.
ConnectingDesc,З'єднання з сервером...
ConnectingHelpInfo,З'єднання...
Controller,Керування
ControllerHelpMobile,Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб змінити\nналаштування контролера.\nОберіть користувацьке та натисніть [CBTN=CROSS]\nщоб змінити конфігурацію кнопок.
ControllerHelpPC,Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб змінити\nналаштування контролера.\nОберіть користувацьке та натисніть [CBTN=CROSS]\nщоб змінити конфігурацію кнопок.
ControlPressBackspace,[CENTER=0]Натисніть [KCBT=START] для виходу.
ControlPressStart,[CENTER=0]Натисніть [DBTN=START] для виходу.
CopyrightSprite,title_copyright_us_uk_jp
CorruptFile,Дані пошкоджено.
CorruptSaveData,"[STRT=160,1][IMME]Дані пошкоджено.[TIME=-1]"
Critical,Критичний
CrossControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]Підтвердити.\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]Перевірити/Говорити/Підтвердити.\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Входити в будівлі/Їхати на транспорті/Їхати\n[XTAB=80]вперед.
CurrentGil,Поточні Гіл
Cursor,Курсор
CursorHelpMobile,"Натисніть щоб встановити режим курсору.\nВиберіть Пам'ятати, щоб курсор з'являвся\nтам, де ви його залишили."
CursorHelpPC,"Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб встановити режим курсору.\nВиберіть Пам'ятати, щоб курсор з'являвся\nтам, де ви його залишили."
Custom,Користувацьке
Death,Смерть
Deck,Колода
DefenseCaption,ЗАХИСТ
DefenseStats,Захист
DeleteCard,Викинути
DiscardConfirm,[CENT]Ви бажаєте\n[CENT]викинути цю карту?
Download,Завантажити
DownloadCaption,ЗАВАНТАЖИТИ
DownloadOverwrite,Усі локальні збережені дані буде перезаписано.\nПродовжити та перезаписати?
Draw,Нічия
EmptyCharNumber,Персонаж {0}
EmptyFile,Порожній блок.
EmptyInput,*Введіть ім'я персонажа
EnemyBtlCaption,ВОРОГ
Equip,Спорядж.
EquipAbility,Спорядити
EquipAbilityForever,\n[A85038][HSHD]Цей персонаж не може використовувати це.[383838][HSHD][ENDN]
EquipAbilityHelp,Використати магічні камені\nдля спорядження пасивних здібностей.[ENDN]
EquipAbilityHelpNow,\n[A85038][HSHD]Цей персонаж не може використовувати це\nза нинішніх умов.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Меню спорядження)[ENDN]
EquipAbilityHelpNowMobile,\n[A85038][HSHD]Цей персонаж не може використовувати це\nза нинішніх умов.[383838][HSHD]\nНатисніть на Меню здібностей щоб переключитися на Меню спорядження[ENDN]
EquipAbilityPlayer,\n[CBTN=SQUARE][FEED=2](Меню спорядження)
EquipAbilityPlayerMobile,\nНатисніть на Меню здібностей щоб переключитися на Меню спорядження
EquipDetailHelp,Змінити спорядження.\n[CBTN=SQUARE][FEED=2](Меню здібностей)[ENDN]
EquipDetailHelpForMobile,Змінити спорядження.\nНатисніть на Меню спорядження щоб переключитися на Меню здібностей
EquipHelp,Змінити спорядження персонажа.
EquipmentCaption,СПОРЯДЖЕННЯ
Equipped,Споряджено:
Evade,Ухилення
EXP,ДОСВ
FailedConnectDesc,Помилка підключення до Хмари.
Fast,Швидко
FieldMessage,Повідомлення в бою
FieldMessageHelpMobile,Натисніть на кнопку та перетягніть щоб обрати швидкість повідомлень в бою.
FieldMessageHelpPC,Натисніть [DBTN=LEFT] [DBTN=RIGHT] щоб обрати\nшвидкість повідомлень в бою.
FileCaption,ФАЙЛ
FileNo,ФАЙЛ{0}
FixedBattleCamera,Фіксовано
Fund,Кошти:
GoodStatusCaption,ХОРОШИЙ СТАН
Guard,Захист
HeadCaption,ГОЛОВА
Help,? Допомога
HelpCaption,caption_help_us_uk_jp
HelpCaptionText,ДОПОМОГА
HelpDesp,[DBTN=SELECT]  Допом.
HereIcon,Позначка ТУТ
HereIconHelpMobile,"Натисніть щоб увімкнути/вимкнути позначку ТУТ.\nЯкщо вибрати ВИМКНЕНО, ви все ще зможете увімкнути \nїї на мапі світу\nнатиснувши [MOBI=279]"
HereIconHelpPC,"Натисніть [DBTN=LEFT] [DBTN=RIGHT] щоб увімкнути/вимкнути\nпозначку ТУТ. Якщо вибрати ВИМКНЕНО, ви все ще зможете\nувімкнути її на мапі світу\nнатиснувши [DBTN=SELECT]."
HintCaption,ПІДКАЗКА
HPAndMPCaption,ОЗ та ОМ
HPCaption,ОЗ
HpIcon,text_hp_us_uk_jp_fr_gr_it
HPMaxCaption,МАКС. ОЗ
InfoCaption,ІНФО
Information,Інфо.
Initial,На початку
Inventory,Інвентар:
Item,Предмети
ItemCaption,ПРЕДМЕТ
ItemHelp,Використання та сортування предметів.\nПереглянути важливі предмети\nотримані у грі.
ItemOverflow,Ви не можете нести більше 99 одиниць\nодного предмету. Зайві предмети будуть викинуті.
ItemRequired,Необхідні предмети:
ItemShop,Крамниця
Joystick,Контролер
Keyboard,Клавіатура
KeyItem,Ключові
KeyItemHelp,Переглянути важливі предмети.[ENDN]
L1ControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]Втеча (утримувати [CBTN=L1] та\n[XTAB=80][CBTN=R1] одночасно).\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Обертати мапу за годинниковою стрілкою.
L2ControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Увімкнути/вимкнути обертання камери.
LatestSave,Останнє збереження 
LearnedCaption,ВИВЧЕНО
Level,РІВ.
Load,Завантажити
LoadSlotHelp,Завантаження з\nТеки збереження {0}.[ENDN]
Loc.Found,Знайдено місць:
LocalData,Ігрові дані
LocalDecryptFailed,"[STRT=160,1][IMME]Не вдалося розшифрувати.[TIME=-1]"
LocalLoadFailed,"[STRT=160,1][IMME]Не вдалося завантажити.[TIME=-1]"
LocalSaveFailed,"[STRT=160,1][IMME]Не вдалося зберегти.[TIME=-1]"
LocationCaption,МІСЦЕЗНАХОДЖЕННЯ
Lose,Програш
LvDialogIcon,[ICON=180]
LvIcon,text_lv_us_uk_jp_gr_it
Magic,Магія
MagicDef,Магічний захист
MagicEva,Магічне ухилення
Manual,Вручну
ManualHelp,Порядок предметів\n[A85038][HSHD]вручну[383838][HSHD].[ENDN]
MaxCharacters,Максимум 8 символів\nСмайли недоступні.
MaxCharacters2,\n\nНатисніть клавішу Tab щоб використати\nім'я за замовчуванням
Memory,Пам'ятати
Menu,Меню
Miss,Промах
MixQtyHelp,Скільки?
MobileBasicControlTutorial0,"[STRT=260,8][IMME][FEED=20][YSUB=2][ICON=27]\n[YSUB=1][CENT=0][C8B040]Базове керування : Йти\n\n[C8C8C8][FEED=15]Проведіть пальцем по екрану, щоб йти за допомогою віртуального аналогу,\n[FEED=15]або торкніться маршруту, щоб примусити свого персонажа\n[FEED=15]автоматично йти до обраного місця.[ENDN]"
MobileBasicControlTutorial1,"[STRT=260,8][IMME][FEED=20][YSUB=2][ICON=27]\n[YSUB=1][FEED=55][C8B040]Базове керування : Вибір варіантів дій\n\n[C8C8C8][FEED=30]Проведіть пальцем вгору та вниз по області за межами\n[FEED=30]діалогового вікна для керування курсором.\n[FEED=30]Натисніть [ICON=260] щоб підтвердити або [ICON=261] щоб скасувати.\n[FEED=30] Також ви можете безпосередньо натиснути на варіант вибору.[ENDN]"
MobileCloudInfoPart1,"[C8C8C8]Резервне копіювання збережених даних у хмару дозволяє поділитися ними\nз іншими пристроями, які використовують той самий обліковий запис для гри.\n\n[68C0D8]Вивантажити[C8C8C8]\nУсі збережені дані буде вивантажено до Хмари.\nВаші поточні дані збереження будуть перезаписані."
MobileCloudInfoPart2,\n\n[78C840]Завантажити[C8C8C8]\nБуде завантажено усі збережені у Хмарі дані.\nВаші поточні дані збереження будуть перезаписані.
MobileControlPressStart,[CENTER=0]Натисніть [ICON=638] для виходу.
MobileNoticeConnectDesc,\n\n*Оновлення збережених даних у Хмарі може зайняти кілька хвилин.
Mognet,МОГМЕРЕЖА
Movement,Рух
MovementHelpMobile,"Натисніть щоб обрати режим пересування персонажа.\nАбо посуньте віртуальний аналог на меншу відстань, щоб йти пішки,\nабо більше, щоб бігти."
MovementHelpPC,Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб обрати режим пересування  \nперсонажа. Утримуйте [CBTN=CIRCLE] щоб щоб обрати режим пересування за замовчуванням\nна мапі світу.
MPCaption,ОМ
MpIcon,text_mp_us_uk_jp_fr_gr_it
MPMaxCaption,МАКС. ОМ
Name,English
NameCaption,ІМ'Я
NameSprite,name_header_us_uk_jp_gr
NavigateDialog,"[IMME][PCHC=2,1]Перейти до {0}?\n[CHOO][MOVE=20,0]Так\n[MOVE=20,0]Ні[ENDN]"
NewCaption,НОВЕ
NextLevel,До наст.[FEED=1][YADD=1][ICON=180]
No,Ні
No1Caption,№1
No2Caption,№2
No3Caption,№3
No4Caption,№4
No5Caption,№5
No6Caption,№6
NoEquipHelp,Нічого не вдягнено.[ENDN]
NoItemGet,Предметів не отримано.
Normal,Нормальне
NormalCaption,НОРМАЛЬНЕ
NoSaveData,"[STRT=160,1][IMME]Немає збереження FF9.[TIME=-1]"
NoSaveHelp,Немає збережених даних.[ENDN]
Notice,СПОВІЩЕННЯ
NoticeCaption,СПОВІЩЕННЯ
NumCaption,КІЛЬКІСТЬ
Off,Вимк.
OffEquipment,Зняти
OffEquipmentHelp,Зняти спорядження.\n[A85038][HSHD]Ви не можете зняти зброю.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Меню здібностей)[ENDN]
OffEquipmentHelpForMobile,Зняти спорядження.\n[A85038][HSHD]Ви не можете зняти зброю.[383838][HSHD]\nНатисніть на Меню спорядження щоб переключитися на Меню здібностей[ENDN]
OK,OK
On,Увімк.
Optimize,Оптимізув.
OptimizeHelp,Автоматично вдягнути найкращі предмети\nдоступні у вашому інвентарі для\nмаксимальної ефективності персонажа.\n[CBTN=SQUARE][FEED=2](Меню здібностей)[ENDN]
OptimizeHelpForMobile,Автоматично вдягнути найкращі предмети\nдоступні у вашому інвентарі для\nмаксимальної ефективності персонажа.\nНатисніть на Меню спорядження щоб переключитися на Меню здібностей[ENDN]
Order,Порядок
OrderHelp,Змінити порядок загону.\nВстановити позицію в бою.
OrderTargetHelp,"Виберіть персонажа двічі, щоб обрати\n[A85038]передній або задній ряд[383838] в бою.\nВиберіть двох різних персонажів\n[A85038]щоб поміняти їх місцями[383838].[ENDN]"
Party,Формування загону
PartyCaption,ЗАГІН
PartyHelp1Desp,Обрати 1 члена.
PartyHelp2Desp,Обрати 2 членів.
PartyHelp3Desp,Обрати 3 членів.
PartyHelp4Desp,Обрати 4 членів.
PartyMoveCharHelp,До якого слоту?
PartySelectCharHelp,Перемістити з цього слоту?
PartyStatusTextPoison,text_poison_us_uk_jp_fr
PartyStatusTextStone,text_stone_us_uk_jp
Pause,pause_us_uk_jp_fr_gr
PCBasicControlTutorial0,"[STRT=310,13][IMME][IMME][FEED=10][YSUB=2][ICON=27]\n[YSUB=5][CENT=0][C8B040]Базове керування : Контролер\n\n[C8C8C8][XTAB=10]Підтв./Говорити [XTAB=80]:[FEED=2][JCBT=CROSS] [XTAB=150]Пауза [FEED=39][XTAB=230]:[FEED=2][JCBT=START]\n[XTAB=10]Скасувати/Ривок [FEED=2][XTAB=80]:[FEED=2][JCBT=CIRCLE] [XTAB=150]Карти/Мугл [XTAB=230]:[FEED=2][JCBT=SQUARE]\n[XTAB=10]Меню  [FEED=34][XTAB=80]:[FEED=2][JCBT=TRIANGLE] [XTAB=150]Обертати камеру [FEED=2][XTAB=230]:[FEED=2][JCBT=L1] ,[FEED=2][JCBT=R1]\n[XTAB=10]Вгору [FEED=51][XTAB=80]:[FEED=2][JCBT=UP] [XTAB=150]Зафіксувати камеру [FEED=14][XTAB=230]:[FEED=2][JCBT=L2]\n[XTAB=10]Ліворуч  [FEED=41][XTAB=80]:[FEED=2][JCBT=LEFT] [XTAB=150]Перспектива [FEED=10][XTAB=230]:[FEED=2][JCBT=R2]\n[XTAB=10]Праворуч  [FEED=34][XTAB=80]:[FEED=2][JCBT=RIGHT] [XTAB=150]Втекти з поля бою  [XTAB=230]:[FEED=2][JCBT=L1] +[FEED=2][JCBT=R1]\n[XTAB=10]Вниз  [FEED=33][XTAB=80]:[FEED=2][JCBT=DOWN] [XTAB=150]Авто-бій [FEED=9][XTAB=230]:[FEED=2][JCBT=R2] \n[XTAB=150]Увімкнути допомогу [FEED=9][XTAB=230]:[FEED=2][JCBT=SELECT]\n[CENT=0]Ви можете змінити керування у \n[CENT=0]Меню>Налаштування>Керування\n[ENDN]"
PCBasicControlTutorial1,"[STRT=310,13][IMME][IMME][FEED=10][YSUB=2][ICON=27]\n[YSUB=5][CENT=0][C8B040]Базове керування : Клавіатура\n\n[C8C8C8][XTAB=10]Підтв./Говорити [XTAB=80]:[FEED=2][KCBT=CIRCLE] ,[FEED=2][ICON=630] [XTAB=150]Пауза [FEED=39][XTAB=230]:[FEED=2][KCBT=START]\n[XTAB=10]Скасувати/Ривок [FEED=2][XTAB=80]:[FEED=2][KCBT=CROSS] ,[FEED=2][ICON=631] [XTAB=150]Карти/Мугл [XTAB=230]:[FEED=2][KCBT=SQUARE]\n[XTAB=10]Меню  [FEED=34][XTAB=80]:[FEED=2][KCBT=TRIANGLE] [XTAB=150]Обертати камеру [FEED=2][XTAB=230]:[FEED=2][KCBT=L1] ,[FEED=2][KCBT=R1]\n[XTAB=10]Вгору [FEED=51][XTAB=80]:[FEED=2][KCBT=UP] ,[FEED=2][ICON=632] [XTAB=150]Зафіксувати камеру [FEED=14][XTAB=230]:[FEED=2][KCBT=L2]\n[XTAB=10]Ліворуч  [FEED=41][XTAB=80]:[FEED=2][KCBT=LEFT] ,[FEED=2][ICON=633] [XTAB=150]Перспектива [FEED=10][XTAB=230]:[FEED=2][KCBT=R2]\n[XTAB=10]Праворуч  [FEED=34][XTAB=80]:[FEED=2][KCBT=RIGHT] ,[FEED=2][ICON=634] [XTAB=150]Втекти з поля бою  [XTAB=230]:[FEED=2][KCBT=L1] +[FEED=2][KCBT=R1]\n[XTAB=10]Вниз  [FEED=33][XTAB=80]:[FEED=2][KCBT=DOWN] ,[FEED=2][ICON=635] [XTAB=150]Авто-бій [FEED=9][XTAB=230]:[FEED=2][KCBT=R2] \n[XTAB=150]Увімкнути допомогу [FEED=9][XTAB=230]:[FEED=2][KCBT=SELECT]\n[CENT=0]Ви можете змінити керування у \n[CENT=0]Меню>Налаштування>Керування\n[ENDN]"
PCBasicControlTutorial2,"[STRT=250,9][IMME][FEED=20][YSUB=2][ICON=27]\n[YSUB=5][CENT=0][C8B040]Базове керування : Миша\n[C8C8C8][YADD=3][XTAB=65]Лівий клік [XTAB=135]: Підтвердити\n[YADD=3][XTAB=65]Правий клік [FEED=30][XTAB=135]: Скасувати\n\n[CENT=0]* Ви також можете керувати персонажами за допомогою\n[CENT=0]Лівого-кліку на пункті призначення, примушуючи його\n[CENT=0]автоматично йти до обраного місця.\n[ENDN]"
PCCloudInfoPart1,"[C8C8C8]Резервне копіювання збережених даних у хмару дозволяє поділитися ними\nз іншими пристроями, які використовують той самий обліковий запис для гри.\n\n[68C0D8]Вивантажити[C8C8C8]\nУсі збережені дані буде вивантажено до Хмари.\nВаші поточні дані збереження будуть перезаписані."
PCCloudInfoPart2,\n\n[78C840]Завантажити[C8C8C8]\nБуде завантажено усі збережені у Хмарі дані.\nВаші поточні дані збереження будуть перезаписані.
PCNoticeConnectDesc,\n*Збережені дані буде автоматично оновлено до Хмари\nпісля виходу з гри.
Perspective,Перспектива
PlayerBtlCaption,ГРАВЕЦЬ
PlayerCaption,ГРАВЕЦЬ
Price,Ціна:
PriceCaption,ЦІНА
QuadMistConfirmSelection,"[STRT=102,3][PCHC=2,1][IMME][CENT]Підтвердити вибір?\n[CHOO][FEED=38]Так\n[FEED=38]Ні[ENDN]"
QuadMistDiscardConfirm,"[STRT=84,3][PCHC=2,1][CENT][IMME]Викинути?\n[CHOO]          Так\n          Ні[ENDN]"
QuadMistDiscardNotice,"[STRT=150,2][IMME][CENT]У вас більше 100 карт.\n[CENT]Оберіть яку карту викинути.[ENDN]"
QuadMistEndCardGame,"[STRT=130,3][PCHC=2,1][IMME][CENT]Кінець карткової гри?\n[CHOO][FEED=56]Так\n[FEED=56]Ні[ENDN]"
QuadMistLost,Втрачено [CARD]
QuadMistReceived,Отримано [CARD]
QuadMistRematch,"[STRT=150,3][PCHC=2,1][IMME][CENT]Зіграти матч-реванш?\n[CHOO][FEED=63]Так\n[FEED=63]Ні[ENDN]"
QuadMistSelectDraw,Нічия:
QuadMistSelectLose,Програш:
QuadMistSelectStock,ЗАПАС:
QuadMistSelectType,ТИП:
QuadMistSelectWin,Виграш:
QuadMistStock,В торбі:[NUMBER]
QuadMistTournamentDraw,"[STRT=144,2][PCHC=2,1]Гра закінчилася внічию.\nПочинається наступна гра.[ENDN]"
QuadMistTutorial1,"[STRT=160,5][IMME][YSUB=2][ICON=27][FEED=18]\n[YSUB=5][CENT=0][C8B040]Правила гри Тетра Майстер\n\n[YSUB=5][CENT=0][C8C8C8]Оберіть 5 карт для гри.[ENDN]"
QuadMistTutorial2,"[STRT=300,12][IMME][YSUB=2][ICON=27][FEED=18]\n[YSUB=5][CENT=0][C8B040]Правила гри Тетра Майстер\n\n[YSUB=5][CENT=0][C8C8C8]Бій починається!\n[YSUB=5][CENT=0]Покладіть карту біля однієї з карт суперника.\n[YSUB=5][CENT=0]Якщо стрілки на вашій картці спрямовані проти карти \n[YSUB=5][CENT=0]вашого суперника, у вас є можливість її захопити.\n[YSUB=5][FEED=92][ICON=769][ENDN]"
QuadMistTutorial3,"[STRT=230,11][IMME][YSUB=2][ICON=27][FEED=18]\n[YSUB=5][CENT=0][C8B040]Правила гри Тетра Майстер\n\n[YSUB=5][CENT=0][C8C8C8]Гра закінчується, як тільки всі карти\n[YSUB=5][CENT=0]знаходяться у грі. Гравець, який захоплює\n[YSUB=5][CENT=0]більше карт стає переможцем.\n[YSUB=5][FEED=58][ICON=770][ENDN]"
QuadMistYouDontHave5Cards,"[STRT=124,2][IMME]Ви не маєте 5-ти карт.\nКінець карткової гри.[ENDN]"
Quantity,Кількість:
QuantityCaption,КІЛЬКІСТЬ
QuitGame,Вийти з гри
QuitGameHelpMobile,Press [CBTN=CIRCLE] to exit the current game\nand quit the game application.
QuitGameHelpPC,Натисніть [CBTN=CROSS] щоб вийти з поточної гри\nта закрити програму.
QuitMessage,Вийти з гри?
QuitMessageRed,*Незбережені дані будуть втрачені.
